Rank,Symbol,Company Name,Sector,Overall Score,Investment Rating,Explanation,Market Cap ($),P/E Ratio,Gross Margin (%),ROE (%),Sales Growth (%),Key Strengths,Key Concerns,Analysis Date
19,AMP,AMP Corporation,Technology,0.65,HOLD ⭐⭐⭐,Decent investment but monitor closely,"5,000,000,000",N/A,0.0,0.0,0.0,,,2025-08-13T11:31:52.832062
20,APTV,APTV Corporation,Technology,0.65,HOLD ⭐⭐⭐,Decent investment but monitor closely,"5,000,000,000",N/A,0.0,0.0,0.0,,,2025-08-13T11:31:52.834443
21,ACN,ACN Corporation,Technology,0.64,HOLD ⭐⭐⭐,Decent investment but monitor closely,"65,000,000,000",N/A,0.0,0.0,0.0,,,2025-08-13T11:31:52.820373
22,ARE,ARE Corporation,Technology,0.64,HOLD ⭐⭐⭐,Decent investment but monitor closely,"65,000,000,000",N/A,0.0,0.0,0.0,,,2025-08-13T11:31:52.822589
23,AEE,AEE Corporation,Technology,0.64,HOLD ⭐⭐⭐,Decent investment but monitor closely,"65,000,000,000",N/A,0.0,0.0,0.0,,,2025-08-13T11:31:52.827674
24,ADI,ADI Corporation,Technology,0.64,HOLD ⭐⭐⭐,Decent investment but monitor closely,"65,000,000,000",N/A,0.0,0.0,0.0,,,2025-08-13T11:31:52.832987
25,AJG,AJG Corporation,Technology,0.64,HOLD ⭐⭐⭐,Decent investment but monitor closely,"65,000,000,000",N/A,0.0,0.0,0.0,,,2025-08-13T11:31:52.835303
26,ABBV,ABBV Corporation,Technology,0.62,HOLD ⭐⭐⭐,Decent investment but monitor closely,"50,000,000,000",N/A,0.0,0.0,0.0,,,2025-08-13T11:31:52.820092
27,ALB,ALB Corporation,Technology,0.62,HOLD ⭐⭐⭐,Decent investment but monitor closely,"50,000,000,000",N/A,0.0,0.0,0.0,,,2025-08-13T11:31:52.822389
28,AMCR,AMCR Corporation,Technology,0.62,HOLD ⭐⭐⭐,Decent investment but monitor closely,"50,000,000,000",N/A,0.0,0.0,0.0,,,2025-08-13T11:31:52.826542
29,APH,APH Corporation,Technology,0.62,HOLD ⭐⭐⭐,Decent investment but monitor closely,"50,000,000,000",N/A,0.0,0.0,0.0,,,2025-08-13T11:31:52.832726
30,ANET,ANET Corporation,Technology,0.62,HOLD ⭐⭐⭐,Decent investment but monitor closely,"50,000,000,000",N/A,0.0,0.0,0.0,,,2025-08-13T11:31:52.835091
31,ADBE,ADBE Corporation,Technology,0.61,HOLD ⭐⭐⭐,Decent investment but monitor closely,"80,000,000,000",N/A,0.0,0.0,0.0,,,2025-08-13T11:31:52.820692
32,ALGN,ALGN Corporation,Technology,0.61,HOLD ⭐⭐⭐,Decent investment but monitor closely,"80,000,000,000",N/A,0.0,0.0,0.0,,,2025-08-13T11:31:52.822805
33,AEP,AEP Corporation,Technology,0.61,HOLD ⭐⭐⭐,Decent investment but monitor closely,"80,000,000,000",N/A,0.0,0.0,0.0,,,2025-08-13T11:31:52.828528
34,AON,AON Corporation,Technology,0.61,HOLD ⭐⭐⭐,Decent investment but monitor closely,"80,000,000,000",N/A,0.0,0.0,0.0,,,2025-08-13T11:31:52.833223
35,AIZ,AIZ Corporation,Technology,0.61,HOLD ⭐⭐⭐,Decent investment but monitor closely,"80,000,000,000",N/A,0.0,0.0,0.0,,,2025-08-13T11:31:52.835517
36,AES,AES Corporation,Technology,0.55,WEAK HOLD ⭐⭐,"Below average metrics, consider other options","110,000,000,000",N/A,0.0,0.0,0.0,,,2025-08-13T11:31:52.821158
37,AFL,AFL Corporation,Technology,0.55,WEAK HOLD ⭐⭐,"Below average metrics, consider other options","125,000,000,000",N/A,0.0,0.0,0.0,,,2025-08-13T11:31:52.821369
38,LNT,LNT Corporation,Technology,0.55,WEAK HOLD ⭐⭐,"Below average metrics, consider other options","110,000,000,000",N/A,0.0,0.0,0.0,,,2025-08-13T11:31:52.823417
39,ALL,ALL Corporation,Technology,0.55,WEAK HOLD ⭐⭐,"Below average metrics, consider other options","125,000,000,000",N/A,0.0,0.0,0.0,,,2025-08-13T11:31:52.823894
40,AIG,AIG Corporation,Technology,0.55,WEAK HOLD ⭐⭐,"Below average metrics, consider other options","110,000,000,000",N/A,0.0,0.0,0.0,,,2025-08-13T11:31:52.831116
41,AMT,AMT Corporation,Technology,0.55,WEAK HOLD ⭐⭐,"Below average metrics, consider other options","125,000,000,000",N/A,0.0,0.0,0.0,,,2025-08-13T11:31:52.831395
42,APO,APO Corporation,Technology,0.55,WEAK HOLD ⭐⭐,"Below average metrics, consider other options","110,000,000,000",N/A,0.0,0.0,0.0,,,2025-08-13T11:31:52.833713
43,AAPL,AAPL Corporation,Technology,0.55,WEAK HOLD ⭐⭐,"Below average metrics, consider other options","125,000,000,000",N/A,0.0,0.0,0.0,,,2025-08-13T11:31:52.833984
44,ATO,ATO Corporation,Technology,0.55,WEAK HOLD ⭐⭐,"Below average metrics, consider other options","110,000,000,000",N/A,0.0,0.0,0.0,,,2025-08-13T11:31:52.835949
45,ADSK,ADSK Corporation,Technology,0.55,WEAK HOLD ⭐⭐,"Below average metrics, consider other options","125,000,000,000",N/A,0.0,0.0,0.0,,,2025-08-13T11:31:52.836161
46,A,A Corporation,Technology,0.54,WEAK HOLD ⭐⭐,"Below average metrics, consider other options","140,000,000,000",N/A,0.0,0.0,0.0,,,2025-08-13T11:31:52.821578
47,GOOGL,GOOGL Corporation,Technology,0.54,WEAK HOLD ⭐⭐,"Below average metrics, consider other options","140,000,000,000",N/A,0.0,0.0,0.0,,,2025-08-13T11:31:52.824406
48,AWK,AWK Corporation,Technology,0.54,WEAK HOLD ⭐⭐,"Below average metrics, consider other options","140,000,000,000",N/A,0.0,0.0,0.0,,,2025-08-13T11:31:52.831802
49,AMAT,AMAT Corporation,Technology,0.54,WEAK HOLD ⭐⭐,"Below average metrics, consider other options","140,000,000,000",N/A,0.0,0.0,0.0,,,2025-08-13T11:31:52.834215
50,ADP,ADP Corporation,Technology,0.54,WEAK HOLD ⭐⭐,"Below average metrics, consider other options","140,000,000,000",N/A,0.0,0.0,0.0,,,2025-08-13T11:31:52.836366
